iter	Passed	Remaining
384	31876	50919
385	31961	50840
386	32043	50756
387	32125	50671
388	32205	50584
389	32285	50498
390	32368	50416
391	32451	50332
392	32532	50247
393	32616	50166
394	32700	50085
395	32784	50004
396	32859	49910
397	32944	49831
398	33021	49739
399	33103	49655
400	33182	49566
401	33264	49483
402	33358	49416
403	33436	49327
404	33519	49244
405	33601	49161
406	33680	49073
407	33767	48995
408	33849	48911
409	33933	48831
410	34015	48746
411	34097	48663
412	34183	48585
413	34272	48510
414	34352	48425
415	34434	48341
416	34518	48259
417	34601	48176
418	34680	48088
419	34758	47999
420	34843	47919
421	34920	47829
422	35000	47743
423	35083	47661
424	35161	47570
425	35246	47492
426	35340	47424
427	35420	47337
428	35510	47264
429	35592	47180
430	35674	47096
431	35748	47003
432	35829	46917
433	35915	46838
434	36006	46767
435	36095	46691
436	36174	46604
437	36251	46513
438	36337	46436
439	36423	46357
440	36506	46274
441	36587	46189
442	36667	46103
443	36742	46011
444	36824	45926
445	36910	45848
446	37000	45774
447	37077	45684
448	37159	45601
449	37244	45521
450	37327	45438
451	37407	45352
452	37491	45271
453	37569	45182
454	37646	45093
455	37732	45013
456	37815	44932
457	37903	44855
458	37985	44771
459	38070	44691
460	38152	44607
461	38232	44521
462	38315	44439
463	38393	44351
464	38474	44266
465	38556	44182
466	38639	44100
467	38719	44014
468	38796	43925
469	38879	43843
470	38967	43765
471	39051	43684
472	39135	43603
473	39215	43517
474	39296	43432
475	39385	43356
476	39466	43272
477	39550	43191
478	39628	43102
479	39713	43022
480	39801	42946
481	39881	42860
482	39963	42776
483	40048	42696
484	40130	42612
485	40214	42531
486	40296	42447
487	40377	42363
488	40457	42277
489	40538	42193
490	40623	42112
491	40704	42027
492	40785	41943
493	40864	41857
494	40939	41766
495	41024	41686
496	41104	41600
497	41184	41515
498	41262	41428
499	41340	41340
500	41422	41256
501	41507	41176
502	41590	41094
503	41675	41014
504	41758	40931
505	41839	40847
506	41926	40768
507	42008	40685
508	42082	40594
509	42166	40512
510	42251	40432
511	42336	40351
512	42420	40270
513	42506	40191
514	42589	40108
515	42668	40022
516	42760	39948
517	42846	39868
518	42933	39789
519	43012	39703
520	43092	39619
521	43172	39533
522	43255	39450
523	43347	39377
524	43432	39296
525	43521	39218
526	43600	39133
527	43677	39044
528	43757	38959
529	43844	38880
530	43922	38793
531	44008	38714
532	44088	38628
533	44168	38543
534	44246	38457
535	44333	38377
536	44418	38297
537	44498	38212
538	44578	38127
539	44659	38043
540	44743	37961
541	44825	37878
542	44912	37799
543	44999	37720
544	45079	37635
545	45160	37551
546	45247	37471
547	45333	37392
548	45414	37308
549	45501	37228
550	45585	37147
551	45665	37061
552	45744	36976
553	45822	36889
554	45904	36806
555	45986	36722
556	46074	36644
557	46170	36572
558	46258	36493
559	46342	36411
560	46429	36332
561	46513	36250
562	46598	36169
563	46677	36084
564	46764	36004
565	46845	35920
566	46925	35835
567	47009	35754
568	47087	35667
569	47159	35576
570	47235	35488
571	47327	35412
572	47410	35330
573	47497	35250
574	47577	35165
575	47662	35084
576	47745	35002
577	47837	34926
578	47921	34844
579	48007	34763
580	48084	34677
581	48173	34598
582	48255	34515
583	48331	34427
584	48420	34349
585	48506	34268
586	48581	34180
587	48660	34095
588	48739	34010
589	48824	33928
590	48906	33845
591	48995	33767
592	49077	33684
593	49163	33603
594	49256	33527
595	49342	33446
596	49419	33359
597	49503	33278
598	49588	33196
599	49680	33120
600	49764	33038
601	49846	32955
602	49928	32871
603	50010	32788
604	50093	32705
605	50182	32626
606	50264	32543
607	50341	32457
608	50431	32378
609	50523	32301
610	50607	32220
611	50698	32142
612	50778	32057
613	50862	31975
614	50941	31890
615	51028	31810
616	51120	31732
617	51203	31649
618	51280	31563
619	51361	31479
620	51443	31396
621	51526	31313
622	51608	31230
623	51690	31146
624	51771	31062
625	51855	30980
626	51942	30900
627	52022	30816
628	52104	30732
629	52184	30647
630	52277	30571
631	52368	30493
632	52450	30409
633	52539	30330
634	52620	30246
635	52707	30165
636	52799	30088
637	52883	30005
638	52960	29920
639	53042	29836
640	53123	29752
641	53211	29672
642	53294	29589
643	53377	29506
644	53454	29420
645	53537	29338
646	53626	29258
647	53711	29176
648	53800	29096
649	53882	29013
650	53968	28932
651	54055	28851
652	54133	28766
653	54226	28688
654	54312	28607
655	54395	28524
656	54476	28440
657	54552	28353
658	54635	28271
659	54720	28189
660	54806	28107
661	54891	28025
662	54976	27944
663	55062	27862
664	55141	27778
665	55221	27693
666	55302	27609
667	55385	27526
668	55466	27443
669	55543	27357
670	55627	27274
671	55708	27190
672	55789	27107
673	55877	27026
674	55960	26944
675	56041	26860
676	56131	26780
677	56213	26697
678	56299	26616
679	56394	26538
680	56478	26456
681	56559	26372
682	56644	26290
683	56729	26208
684	56815	26126
685	56898	26043
686	56984	25962
687	57061	25876
688	57144	25793
689	57228	25711
690	57304	25625
691	57385	25541
692	57470	25459
693	57552	25376
694	57634	25293
695	57723	25212
696	57807	25130
697	57896	25049
698	57974	24964
699	58059	24882
700	58147	24801
701	58235	24721
702	58321	24639
703	58404	24556
704	58484	24472
705	58570	24390
706	58653	24307
707	58732	24223
708	58823	24143
709	58899	24057
710	58984	23975
711	59072	23894
712	59161	23814
713	59265	23739
714	59349	23656
715	59448	23580
716	59533	23497
717	59630	23420
718	59724	23341
719	59804	23257
720	59896	23177
721	59973	23092
722	60066	23013
723	60153	22931
724	60241	22850
725	60329	22769
726	60408	22684
727	60484	22598
728	60575	22518
729	60659	22435
730	60739	22351
731	60825	22269
732	60906	22185
733	60992	22103
734	61076	22020
735	61167	21940
736	61246	21856
737	61327	21772
738	61412	21689
739	61496	21606
740	61583	21525
741	61669	21442
742	61756	21361
743	61839	21277
744	61931	21198
745	62028	21119
746	62106	21034
747	62189	20951
748	62272	20868
749	62357	20785
750	62439	20702
751	62524	20619
752	62609	20537
753	62691	20453
754	62773	20370
755	62847	20284
756	62928	20200
757	63005	20115
758	63080	20029
759	63168	19947
760	63251	19864
761	63345	19785
762	63428	19702
763	63509	19618
764	63593	19535
765	63678	19452
766	63760	19369
767	63836	19283
768	63918	19200
769	63997	19116
770	64082	19033
771	64161	18949
772	64251	18868
773	64331	18784
774	64417	18701
775	64517	18623
776	64600	18540
777	64686	18458
778	64771	18375
779	64853	18291
780	64935	18208
781	65014	18124
782	65099	18041
783	65182	17958
784	65271	17876
785	65359	17795
786	65451	17714
787	65538	17632
788	65616	17547
789	65708	17466
790	65797	17385
791	65889	17304
792	65977	17222
793	66063	17139
794	66149	17057
795	66231	16973
796	66315	16890
797	66392	16806
798	66486	16725
799	66583	16645
800	66675	16564
801	66776	16485
802	66874	16406
803	66958	16323
804	67045	16240
805	67133	16158
806	67227	16077
807	67310	15994
808	67404	15913
809	67500	15833
810	67580	15749
811	67670	15667
812	67763	15586
813	67853	15504
814	67948	15423
815	68025	15339
816	68110	15256
817	68204	15175
818	68290	15092
819	68373	15008
820	68463	14926
821	68545	14843
822	68625	14759
823	68712	14676
824	68803	14594
825	68889	14511
826	68979	14429
827	69068	14347
828	69152	14264
829	69240	14181
830	69330	14099
831	69413	14016
832	69496	13932
833	69589	13851
834	69672	13767
835	69753	13683
836	69833	13599
837	69927	13518
838	70014	13435
839	70100	13352
840	70190	13270
841	70283	13188
842	70372	13106
843	70455	13022
844	70537	12938
845	70628	12856
846	70718	12774
847	70804	12691
848	70881	12606
849	70962	12522
850	71046	12439
851	71128	12355
852	71222	12273
853	71318	12192
854	71399	12108
855	71480	12024
856	71563	11941
857	71651	11858
858	71742	11776
859	71834	11694
860	71920	11610
861	71997	11526
862	72076	11442
863	72162	11358
864	72244	11275
865	72334	11192
866	72421	11109
867	72511	11027
868	72601	10944
869	72689	10861
870	72774	10778
871	72865	10695
872	72949	10612
873	73034	10529
874	73120	10445
875	73202	10362
876	73290	10279
877	73386	10197
878	73465	10113
879	73557	10030
880	73646	9947
881	73723	9863
882	73803	9779
883	73886	9695
884	73976	9612
885	74058	9528
886	74148	9446
887	74234	9362
888	74332	9281
889	74415	9197
890	74499	9113
891	74575	9029
892	74659	8945
893	74744	8862
894	74832	8779
895	74915	8695
896	74999	8611
897	75086	8528
898	75173	8445
899	75252	8361
900	75333	8277
901	75422	8194
902	75510	8111
903	75600	8028
904	75680	7944
905	75767	7861
906	75855	7777
907	75950	7695
908	76056	7614
909	76156	7531
910	76242	7448
911	76331	7365
912	76417	7281
913	76495	7197
914	76572	7113
915	76660	7029
916	76760	6947
917	76854	6864
918	76938	6781
919	77026	6697
920	77122	6615
921	77210	6531
922	77297	6448
923	77390	6365
924	77476	6281
925	77560	6198
926	77645	6114
927	77727	6030
928	77821	5947
929	77899	5863
930	77981	5779
931	78064	5695
932	78160	5612
933	78245	5529
934	78345	5446
935	78423	5362
936	78506	5278
937	78592	5194
938	78675	5110
939	78753	5026
940	78849	4943
941	78933	4859
942	79015	4776
943	79102	4692
944	79196	4609
945	79300	4526
946	79399	4443
947	79486	4360
948	79567	4276
949	79652	4192
950	79741	4108
951	79824	4024
952	79909	3940
953	79988	3856
954	80070	3772
955	80169	3689
956	80246	3605
957	80339	3522
958	80423	3438
959	80512	3354
960	80601	3271
961	80683	3187
962	80762	3103
963	80856	3019
964	80957	2936
965	81054	2852
966	81134	2768
967	81218	2684
968	81305	2601
969	81406	2517
970	81487	2433
971	81582	2350
972	81671	2266
973	81764	2182
974	81846	2098
975	81925	2014
976	82014	1930
977	82105	1846
978	82186	1762
979	82271	1679
980	82357	1595
981	82456	1511
982	82559	1427
983	82661	1344
984	82751	1260
985	82845	1176
986	82939	1092
987	83022	1008
988	83107	924
989	83193	840
990	83276	756
991	83371	672
992	83453	588
993	83536	504
994	83624	420
995	83715	336
996	83806	252
997	83902	168
998	83987	84
999	84080	0
